time,sdnn,rmssd,mean_rr,n
114.76842105263158,35.41166981500207,29.484186541067007,864.661654135338,35
115.64736842105263,35.33496846584945,29.182232452950867,863.7426900584794,36
116.54736842105262,34.84923696384946,29.42194707236889,863.8691322901851,37
117.46842105263157,34.38300575152408,29.0216298194956,863.9889196675898,38
118.35263157894737,35.324186318618565,29.50932874514353,861.4473684210527,40
119.21052631578947,35.44575566251874,29.1856223852896,860.4621309370987,41
120.08421052631579,35.29334880199801,28.874338968156817,859.7744360902255,42
120.96842105263157,35.50993277790475,28.632371358636764,858.7515299877604,43
121.82105263157895,35.8397398007418,28.3088587478385,857.6555023923447,44
122.62631578947368,35.565723314633566,28.265122489257717,857.1929824561403,45
123.43684210526315,35.1747585584949,28.048237041000107,857.0938215102977,46
124.27368421052631,34.79641152838343,27.741689727017846,856.9988801791712,47
125.1,34.430017735899646,27.44497863225267,856.9078947368422,48
125.93157894736842,35.48302649597869,29.1658422255203,858.3243823845328,49
126.76842105263158,35.48302649597869,29.1658422255203,858.3243823845328,49
127.66842105263157,37.56630559971819,29.110467191889377,860.2105263157896,50
128.60526315789474,38.15214717754179,29.16188458356919,861.4035087719302,51
129.4842105263158,37.85451633200724,29.470366907523594,861.7408906882595,52
130.3578947368421,37.68181083125627,29.222104427512324,862.2641509433963,53
131.2263157894737,37.676228717630075,28.981202579663996,862.9629629629633,54
132.08947368421053,37.325753808424615,29.146048641818858,862.9665071770338,55
132.9157894736842,37.40657318990061,29.432644017665844,862.2180451127819,56
133.7263157894737,37.46991795322722,29.168668783867233,861.4958448753466,57
134.56315789473683,37.14279001906721,29.3206023259453,861.4337568058079,58
135.42631578947368,37.07558629169751,29.46655345423272,861.9982158786798,59
136.26842105263157,36.84964452828402,30.0085281397738,861.6666666666667,60
137.11052631578946,36.67924891419987,29.76516272894797,861.2597066436582,61
137.9736842105263,36.37986707835644,29.642987181955856,861.205432937182,62
138.88947368421051,36.09673767390371,29.43333400967193,861.3199665831245,63
139.80526315789473,35.82010934487106,29.198801714199675,861.4309210526316,64
140.68947368421053,35.55591809129396,29.036942750940334,861.2955465587046,65
141.55263157894737,35.45143350685038,29.172842892185383,861.7224880382774,66
142.42631578947368,36.8932492733934,29.976627062869795,863.0793401413983,67
143.27894736842106,37.850183544712856,29.7798596040517,864.2414860681114,68
144.09473684210525,37.57106904331256,31.07177874295745,864.2257818459191,69
144.92631578947368,36.8590875486996,30.695856723828616,862.547673531655,69
145.79473684210527,37.32876660020063,30.616127091195583,861.5560640732264,69
146.66315789473683,37.429850852520566,30.516172116310187,860.3356216628529,69
147.47894736842105,37.26291478903624,30.214323231480364,858.6575133485889,69
148.28947368421052,37.34506235448841,30.021336772507514,858.045112781955,70
149.11052631578946,37.214913524813404,30.18138057261712,857.5939849624062,70
149.94210526315788,37.85944199201214,31.066268062986435,858.4210526315788,70
150.7578947368421,38.43555160573918,31.040411822083268,859.0225563909773,70
151.56842105263158,38.49064706829297,30.96919584963925,859.0977443609024,70
152.40526315789472,38.874645327730185,30.49894877845355,859.8496240601502,70
153.2578947368421,38.676524548552614,30.492366508218577,861.278195488722,70
154.11052631578946,38.20927241191493,30.564693516912154,862.1804511278197,70
154.96315789473684,38.40711562495496,31.18879248105247,861.9548872180451,70
155.88947368421051,38.66495656184228,31.208094468963594,861.7293233082704,70
156.8421052631579,38.89534603243751,30.54285876077656,862.0137299771167,69
157.76315789473685,38.731068178601554,30.241276245965604,861.0983981693364,69
158.6421052631579,38.07803294193308,29.587628046536068,859.2677345537757,69
159.53157894736842,39.13966411833048,29.5360025498653,857.2180451127816,70
160.43157894736842,39.092159348292085,30.074779336876826,856.9172932330827,70
161.29473684210527,39.074770494382605,30.094795831163804,856.8421052631578,70
162.1157894736842,39.06750450412833,29.772917102590746,856.7669172932328,70
162.93684210526317,38.942449821801,29.772917102590966,857.4436090225566,70
163.79473684210527,38.806904924423094,29.820767074853777,858.1235697940505,69
164.68947368421053,39.70832581274698,30.469414246046806,859.4965675057208,69
165.53157894736842,40.78446177543634,30.368976391462915,860.5644546147979,69
166.36842105263156,40.7230384857007,31.6562521288132,860.8695652173915,69
167.2263157894737,40.81398155322792,31.784675585659336,860.7170099160949,69
