time,dc,ac_rms,snr_db,cardiac_power_fraction,dominant_hr,dominant_freq,periodicity,amplitude_consistency,sqi,status
5.0,461.9316007104552,165.23456694541886,1.0911840518596696,0.7445155330218514,67.5,1.125,0.7441110908592552,0.9296263813823378,0.8054911325324584,QUESTIONABLE
7.0,451.9753212181229,156.44222559131578,0.283220200876278,0.7474826514019466,67.5,1.125,0.762506148806541,0.9470996953474969,0.8167437916406615,QUESTIONABLE
9.0,449.24573359244994,149.51533892978645,0.19426507594118064,0.6918680697983829,60.0,1.0,0.7520376238260428,0.8923836289560654,0.7804141882268002,QUESTIONABLE
11.0,452.92254941725554,149.06932049080513,-0.13147597840900604,0.6790732914695116,67.5,1.125,0.77368687818031,0.9341149539368727,0.7901373181976933,QUESTIONABLE
13.0,460.82370922062364,141.4446620539888,0.23361958191984109,0.7163600563178704,67.5,1.125,0.8072807228074086,0.9441244881209814,0.8164478738356723,QUESTIONABLE
15.0,462.0,139.593108663254,1.3101869551731016,0.7328163642978531,67.5,1.125,0.6670014574126566,0.9596039649235361,0.7782530390855402,QUESTIONABLE
17.0,464.0224374819732,138.7127157356364,0.5961495530958293,0.734313306325469,67.5,1.125,0.6845330027346384,0.9510232666482313,0.7823951398381201,QUESTIONABLE
19.0,463.47326433763556,141.3333905758563,-1.095162163252683,0.765177190098129,60.0,1.0,0.6964968619940388,0.9123304693947923,0.7905912916743165,BAD
21.0,459.4838124022906,140.45857139438587,0.8444056233537723,0.751394617162227,60.0,1.0,0.7139644569887068,0.9057672545573439,0.7890058980308665,QUESTIONABLE
23.0,458.70115228901074,138.8399517116073,1.0186108382765995,0.7386879416538316,60.0,1.0,0.7088249896779454,0.9390862764900966,0.7897294025471461,QUESTIONABLE
25.0,463.9435630065486,140.92945463327018,0.4572830565613286,0.739712167623679,67.5,1.125,0.5968679446916673,0.9150991824726951,0.7579650869515108,QUESTIONABLE
27.0,469.97582025678923,141.96331688035443,-0.6185706345701788,0.776823022108897,67.5,1.125,0.6440391857481752,0.9008869363095511,0.7841183518299216,QUESTIONABLE
29.0,473.3879270801558,139.36250295038428,-0.029088290645350443,0.8080158771027562,75.0,1.25,0.7297698176510955,0.929766516179746,0.8280905993723803,QUESTIONABLE
31.0,467.7824821923403,137.17491972720737,-0.2814209959623904,0.7868449586748117,67.5,1.125,0.7631886599997714,0.9141889625713322,0.8265323739841226,QUESTIONABLE
33.0,467.523721111369,143.14076695740226,1.585671372402976,0.7589139585519865,67.5,1.125,0.7895780726105598,0.959635678623164,0.8323661409285954,QUESTIONABLE
35.0,465.0428186536588,139.04037101652324,1.6420874968635086,0.7692053462856638,67.5,1.125,0.7971237026519653,0.9670083223477961,0.8402209137794143,QUESTIONABLE
37.0,461.29997525929457,137.282191101977,0.08081086566744174,0.7825860074751027,67.5,1.125,0.8590384812460956,0.97443110057777,0.8656321674794237,QUESTIONABLE
39.0,464.12031853837084,135.81015047940065,0.02487044428445885,0.795714437460374,75.0,1.25,0.8797087295827435,0.9899811724458538,0.8801946283481434,QUESTIONABLE
41.0,465.09515392472696,136.25271453837098,0.20052612637801656,0.7949637483853605,75.0,1.25,0.8918912444266027,0.9847227750538126,0.8824974276928875,QUESTIONABLE
43.0,464.9755427220995,134.13471827457658,-0.0119878233171932,0.7843087393539389,75.0,1.25,0.884240222714264,0.9756707216276846,0.8741297068813917,QUESTIONABLE
45.0,466.73510956669537,134.85189516378034,-0.39194366021946514,0.7820854432186888,75.0,1.25,0.8793199576546176,0.9781501417777735,0.8722601929394155,QUESTIONABLE
47.0,463.50146570215674,132.18678021697627,0.3368924998614286,0.7690860767127895,67.5,1.125,0.876316401485732,0.9612922646100482,0.862787804052845,QUESTIONABLE
