HostTime_ns,Data
1786313961813276271,729
1786313961818085678,726
1786313961822965963,721
1786313961828071792,716
1786313961834040649,710
1786313961839080946,702
1786313961844107453,693
1786313961849065298,683
1786313961855214600,673
1786313961860221607,662
1786313961865221196,650
1786313961870035956,637
1786313961876217340,624
1786313961881039613,610
1786313961886077007,596
1786313961891134035,581
1786313961897262818,567
1786313961902098770,553
1786313961907235024,540
1786313961912286729,528
1786313961918052099,517
1786313961923210009,506
1786313961928227545,497
1786313961934080666,488
1786313961939260484,481
1786313961944236138,475
1786313961949107627,471
1786313961955090816,467
1786313961960188988,466
1786313961964982952,465
1786313961970074549,464
1786313961976085499,466
1786313961980994294,468
1786313961986016311,471
1786313961991234657,474
1786313961997223510,478
1786313962002034280,482
1786313962007192748,486
1786313962012149243,492
1786313962018064996,496
1786313962022971169,500
1786313962027997245,505
1786313962032979317,509
1786313962038967166,513
1786313962044067410,516
1786313962049097179,519
1786313962053968146,522
1786313962060368793,525
1786313962064964405,526
1786313962069943076,527
1786313962074990102,528
1786313962080911011,529
1786313962085934917,529
1786313962090969115,529
1786313962095966007,528
1786313962101961040,527
1786313962107063606,525
1786313962112067004,523
1786313962117963590,520
1786313962122965419,518
1786313962128066130,515
1786313962132941203,512
1786313962138970327,508
1786313962144067220,504
1786313962148973843,500
1786313962153972092,496
1786313962159991313,492
1786313962164925852,488
1786313962170165716,484
1786313962175096437,480
1786313962181056986,477
1786313962186006461,474
1786313962191223508,470
1786313962196209140,466
1786313962202024901,463
1786313962207213899,460
1786313962212273567,457
1786313962216993413,455
1786313962223211110,453
1786313962228204440,450
1786313962232950019,448
1786313962238041502,447
1786313962244230318,446
1786313962249165639,445
1786313962254066794,444
1786313962259034011,444
1786313962265008837,443
1786313962270074512,442
1786313962275232045,441
1786313962280242505,441
1786313962286038544,441
1786313962291063729,441
1786313962296259883,441
1786313962302007669,442
1786313962306961050,442
1786313962312089469,443
1786313962317040673,445
1786313962323271551,445
1786313962328055235,446
1786313962332930808,447
1786313962338044539,449
1786313962344039516,450
1786313962348954745,449
1786313962354040241,449
1786313962359069721,450
1786313962364962674,450
1786313962370184191,449
1786313962375080281,450
1786313962380240025,450
1786313962386127047,451
1786313962391250657,451
1786313962396248844,452
1786313962401042654,452
1786313962407138311,452
1786313962412257712,452
1786313962417227416,453
1786313962422215300,453
1786313962428272284,454
1786313962433061565,454
1786313962438121250,455
1786313962443255145,456
1786313962449119116,457
1786313962454023180,458
1786313962459086142,458
1786313962464220613,457
1786313962470104885,457
1786313962475237555,456
1786313962480232739,456
1786313962485030546,454
1786313962491130272,453
1786313962496258567,453
1786313962501066114,452
1786313962507078281,451
1786313962512122302,450
1786313962517030614,449
1786313962521979877,449
1786313962528022209,449
1786313962533134261,448
1786313962538205390,448
1786313962543034867,447
1786313962548976484,447
1786313962554030379,446
1786313962559090002,445
1786313962564090970,445
1786313962570010862,444
1786313962575116682,444
1786313962580088307,444
1786313962584951156,443
1786313962590946351,442
1786313962596069241,443
1786313962600977944,445
1786313962606065458,447
1786313962612086799,451
1786313962616978279,457
1786313962621979448,463
1786313962627072969,472
1786313962632971943,482
1786313962638100029,493
1786313962643092346,505
1786313962647988488,518
1786313962653964281,532
1786313962659061352,548
1786313962663949483,563
1786313962668968723,578
1786313962674981720,594
1786313962679965930,610
1786313962684954892,626
1786313962690966363,640
1786313962696041837,653
1786313962701083630,666
1786313962706037648,677
1786313962712043549,686
1786313962716991307,694
1786313962722175857,700
1786313962727241974,704
1786313962733033917,707
1786313962738030541,709
1786313962743039822,709
1786313962748229989,706
1786313962754026875,702
1786313962759239815,697
1786313962764263610,690
1786313962768965537,682
1786313962775107022,673
1786313962780237879,664
1786313962784959161,654
1786313962790006931,642
1786313962796091818,630
1786313962801017554,618
1786313962805975934,606
1786313962811039232,593
1786313962817044779,579
1786313962822121702,566
1786313962827271092,553
1786313962831983058,539
1786313962838012010,528
1786313962843063533,517
1786313962848061709,506
1786313962853033713,496
1786313962859116612,488
1786313962864569548,480
1786313962869026912,474
1786313962875073568,469
1786313962880067314,465
1786313962885203371,463
1786313962890219889,462
1786313962896212885,461
1786313962901044489,463
1786313962906068692,464
1786313962911074481,466
1786313962917019888,468
1786313962922063397,472
1786313962927090395,477
1786313962931991910,482
1786313962938072284,487
1786313962943072488,492
1786313962948190089,497
1786313962953064509,502
1786313962959249434,507
1786313962964239141,511
1786313962969068924,515
1786313962974117581,518
1786313962980240412,521
1786313962984954498,523
1786313962990074960,524
1786313962994970397,525
1786313963001150192,526
1786313963006145306,527
1786313963011209820,527
1786313963015999690,526
1786313963022029305,526
1786313963027011487,525
1786313963032007156,524
1786313963037008146,522
1786313963042957901,521
1786313963047974810,519
1786313963052961421,517
1786313963058962214,513
1786313963063988238,511
1786313963068948285,508
1786313963073955638,505
1786313963079966307,503
1786313963084977294,499
1786313963089983401,496
1786313963094957868,492
1786313963100986770,490
1786313963105937486,486
1786313963110927857,482
1786313963115964480,480
1786313963121971503,478
1786313963126996714,474
1786313963131986752,472
1786313963136925843,470
1786313963143037660,467
1786313963148557780,465
1786313963152927437,464
1786313963158043684,463
1786313963164040875,461
1786313963168966530,459
1786313963174043061,458
1786313963179218300,456
1786313963185192012,455
1786313963190117305,454
1786313963195241728,454
1786313963199952235,454
1786313963206060836,453
1786313963211059374,452
1786313963215968938,452
1786313963221946029,453
1786313963226937907,453
1786313963231932567,452
1786313963236976970,452
1786313963243064548,453
1786313963247983510,454
1786313963253014638,454
1786313963257959192,454
1786313963263964279,455
1786313963268964884,455
1786313963273942813,455
1786313963278948493,455
1786313963284969324,455
1786313963289964194,456
1786313963294952035,457
1786313963299987398,457
1786313963305966378,457
1786313963310955997,458
1786313963315945855,459
1786313963321104974,459
1786313963326926392,459
1786313963333230209,460
1786313963337035010,460
1786313963342197719,460
1786313963348092582,460
1786313963353175023,459
1786313963358174985,459
1786313963363098411,459
1786313963368964530,458
1786313963374162106,458
1786313963379264726,458
1786313963384166759,457
1786313963390239669,456
1786313963395240948,456
1786313963399930379,455
1786313963405995221,454
1786313963411082200,453
1786313963415974668,453
1786313963421000211,451
1786313963426939013,451
1786313963431937356,450
1786313963437133576,450
1786313963442225208,450
1786313963448138950,450
1786313963453075768,449
1786313963458270115,449
1786313963463274861,449
1786313963469074158,449
1786313963474238194,450
1786313963479244218,451
1786313963484111533,454
1786313963490188151,457
1786313963495261947,462
1786313963499979339,468
1786313963505241636,475
1786313963511242786,484
1786313963515996175,495
1786313963520993553,506
1786313963526113288,519
1786313963532048484,533
1786313963537223645,548
1786313963542229700,565
1786313963547216925,581
1786313963553071847,597
1786313963558085279,614
1786313963563033680,630
1786313963568188092,645
1786313963574219577,659
1786313963579231389,673
1786313963584041013,684
1786313963590184820,695
1786313963595201143,704
1786313963600029321,713
1786313963605132555,718
1786313963611221472,723
1786313963616005163,726
1786313963621000605,727
1786313963626062499,725
1786313963631997934,722
1786313963636994312,718
1786313963642060476,712
1786313963647060812,705
1786313963653046859,698
1786313963658059351,690
1786313963663060600,681
1786313963668063197,670
1786313963674215238,659
1786313963679237685,648
1786313963684058702,634
1786313963689205436,621
1786313963695237833,607
1786313963700004637,594
1786313963705219962,580
1786313963710283590,566
1786313963715961966,553
1786313963721230726,541
1786313963726249870,528
1786313963731136865,517
1786313963737221402,507
1786313963742253967,499
1786313963747232017,491
1786313963752935884,486
1786313963758239552,480
1786313963763232967,476
1786313963768236796,474
1786313963774240998,472
1786313963779247193,472
1786313963784109210,472
1786313963789170286,474
1786313963795085473,476
1786313963800017557,480
1786313963805060022,484
1786313963810251151,488
1786313963815982784,493
1786313963820991553,498
1786313963826096028,502
1786313963831236391,506
1786313963836980961,511
