HostTime_ns,Data
1786314148234404043,361
1786314148234660962,359
1786314148234889862,360
1786314148238606601,360
1786314148244531941,361
1786314148249604531,361
1786314148254554570,363
1786314148259614050,364
1786314148265614618,366
1786314148270614453,366
1786314148275610821,367
1786314148280615798,368
1786314148286613971,369
1786314148291614870,369
1786314148296623695,370
1786314148301547017,371
1786314148307716646,370
1786314148312615115,369
1786314148317617518,369
1786314148322644348,368
1786314148328520808,368
1786314148333677727,367
1786314148338796283,367
1786314148344537199,367
1786314148349643691,367
1786314148354715871,367
1786314148359743270,367
1786314148365656211,366
1786314148370626464,367
1786314148375832250,368
1786314148380611775,372
1786314148386612320,376
1786314148391610974,382
1786314148396632051,391
1786314148401518309,402
1786314148407845513,416
1786314148412615652,433
1786314148417518471,454
1786314148422699293,477
1786314148428613011,503
1786314148433582702,532
1786314148438837646,565
1786314148443571590,600
1786314148449835565,635
1786314148454610306,672
1786314148459659165,709
1786314148464615757,745
1786314148470609092,779
1786314148475609450,812
1786314148480612269,842
1786314148485636269,868
1786314148491611859,892
1786314148496628896,912
1786314148501557179,928
1786314148506610340,940
1786314148512628093,948
1786314148517610265,951
1786314148522832754,951
1786314148528581320,946
1786314148533512497,939
1786314148538632574,929
1786314148543567748,916
1786314148549501709,899
1786314148554806697,881
1786314148559652970,861
1786314148564642778,838
1786314148570636416,813
1786314148575644842,787
1786314148580645263,760
1786314148585675155,733
1786314148591638765,704
1786314148596622490,676
1786314148601563670,648
1786314148606646828,619
1786314148612651197,592
1786314148617661177,565
1786314148622640488,540
1786314148627641777,515
1786314148633551065,493
1786314148638643890,472
1786314148643602326,453
1786314148648797135,435
1786314148654614411,420
1786314148659586378,408
1786314148664815055,397
1786314148669640487,389
1786314148675793558,384
1786314148680808440,381
1786314148685636550,380
1786314148690560574,381
1786314148696809320,384
1786314148701627191,389
1786314148706644341,395
1786314148712852003,401
1786314148717706628,409
1786314148722639882,418
1786314148727810550,427
1786314148733555665,436
1786314148738643814,446
1786314148743562711,455
1786314148748680970,464
1786314148754673100,473
1786314148759590234,481
1786314148764830710,488
1786314148769566209,494
1786314148775609559,499
1786314148780637488,502
1786314148785583272,505
1786314148790609254,507
1786314148796609821,508
1786314148801567598,509
1786314148806606845,509
1786314148811643731,507
1786314148817667362,505
1786314148822609823,502
1786314148827607171,498
1786314148832779236,495
1786314148838833028,490
1786314148843594673,485
1786314148848845869,479
1786314148853784443,474
1786314148859573577,468
1786314148864615476,462
1786314148869611870,455
1786314148875560471,449
1786314148880615509,442
1786314148885630417,436
1786314148890609023,430
1786314148896602253,425
1786314148901775870,420
1786314148906667356,415
1786314148911564427,411
1786314148917549736,407
1786314148922809974,403
1786314148927846293,400
1786314148932763603,397
1786314148938654630,395
1786314148943655637,392
1786314148948766814,389
1786314148953689331,388
1786314148959596949,386
1786314148964596417,384
1786314148969658584,382
1786314148974640883,381
1786314148980786839,379
1786314148985629218,378
1786314148990622545,376
1786314148995815772,374
1786314149001564208,373
1786314149006705406,372
1786314149011705246,371
1786314149016518586,371
1786314149022614022,370
1786314149027523433,370
1786314149032641670,370
1786314149037668642,370
1786314149043636955,369
1786314149048803963,369
1786314149053805633,370
1786314149058801959,369
1786314149064812988,370
1786314149069652050,369
1786314149074645220,370
1786314149080646755,370
1786314149085661290,370
1786314149090566076,370
1786314149095820045,370
1786314149101633877,371
1786314149106639060,371
1786314149111808778,371
1786314149116541591,373
1786314149122643466,373
1786314149127804678,374
1786314149132699730,375
1786314149137674810,375
1786314149143768664,376
1786314149148801450,376
1786314149153776158,376
1786314149158773220,376
1786314149164763221,375
1786314149169664945,375
1786314149174611315,375
1786314149179616918,375
1786314149185624996,374
1786314149190558344,374
1786314149195626696,374
1786314149200647789,373
1786314149206646074,372
1786314149211648885,372
1786314149216548433,372
1786314149221466643,372
