HostTime_ns,Data
1786314505485864963,422
1786314505490970463,416
1786314505496721813,413
1786314505501683941,408
1786314505506928186,405
1786314505511710687,403
1786314505517788260,400
1786314505522816474,398
1786314505527881459,396
1786314505532720250,393
1786314505538792102,391
1786314505543737350,389
1786314505548840039,388
1786314505553854931,387
1786314505559839124,386
1786314505564767781,385
1786314505569763956,386
1786314505575658141,386
1786314505580885887,386
1786314505586546611,386
1786314505590729950,388
1786314505595697273,389
1786314505601710700,390
1786314505606672475,392
1786314505611707267,394
1786314505616691368,396
1786314505622706145,398
1786314505627694416,400
1786314505632687534,402
1786314505637687604,404
1786314505643694281,405
1786314505648668509,406
1786314505653696368,408
1786314505658676408,410
1786314505664745378,411
1786314505669781539,412
1786314505674776830,413
1786314505680620686,414
1786314505685689316,414
1786314505690784554,414
1786314505695917985,414
1786314505701722432,414
1786314505706770993,413
1786314505711689216,412
1786314505716671530,411
1786314505722730333,409
1786314505727736009,407
1786314505732730170,404
1786314505738002858,404
1786314505743947661,401
1786314505748960097,399
1786314505753889338,397
1786314505758943257,395
1786314505764690716,393
1786314505769662573,391
1786314505774688022,388
1786314505779934071,386
1786314505786805663,384
1786314505791313145,381
1786314505795960805,380
1786314505801278469,380
1786314505807175316,380
1786314505812916322,382
1786314505817819833,385
1786314505821734941,390
1786314505829585159,398
1786314505833173086,408
1786314505838068954,420
1786314505842729853,436
1786314505848688611,456
1786314505853714468,478
1786314505858712589,503
1786314505865659868,531
1786314505870628560,561
1786314505874779936,594
1786314505879760198,628
1786314505885858939,663
1786314505890706126,699
1786314505895744578,734
1786314505900692124,769
1786314505906710573,802
1786314505911666976,833
1786314505916706656,862
1786314505921662602,888
1786314505928427253,910
1786314505932847415,931
1786314505937653506,947
1786314505942687960,958
1786314505948768282,967
1786314505953699717,971
1786314505958832989,972
1786314505963830210,972
1786314505969678300,968
1786314505974839797,960
1786314505979830241,951
1786314505984696061,938
1786314505990721103,924
1786314505995765178,907
1786314506000672680,889
1786314506005658129,868
1786314506011806075,847
1786314506016671909,824
1786314506021689298,801
1786314506027777751,776
1786314506032787579,751
1786314506037692202,726
1786314506042753544,700
1786314506048789229,674
1786314506053777297,650
1786314506058928142,625
1786314506063981912,602
1786314506069828476,580
1786314506074928432,561
1786314506079995373,542
1786314506084867409,526
1786314506090927846,512
1786314506095993639,500
1786314506100730199,490
1786314506105774352,481
1786314506111973042,476
1786314506116717056,472
1786314506121686445,471
1786314506126914615,471
1786314506132779882,472
1786314506137685376,476
1786314506142714850,480
1786314506147735134,485
1786314506154441439,493
1786314506158665166,501
1786314506163804214,508
1786314506168698777,516
1786314506174694046,525
1786314506179681910,532
1786314506184801195,539
1786314506189762644,546
1786314506195927167,552
1786314506200777330,557
1786314506205725203,561
1786314506211765123,565
1786314506216825146,568
1786314506221926894,569
1786314506226817528,570
1786314506232809664,570
1786314506237847125,568
1786314506242771256,567
1786314506248713884,564
1786314506254715744,561
1786314506258943425,558
1786314506264901770,553
1786314506269688449,549
1786314506274704050,544
1786314506280750058,539
1786314506284749941,534
1786314506289740652,528
1786314506296579532,522
1786314506300765302,516
1786314506305690428,510
1786314506310749796,504
1786314506316698707,497
1786314506321846571,490
1786314506326714528,484
1786314506331823807,478
1786314506340655050,470
1786314506344121205,464
